n,s_t,p_t,p_m
0,0,0,0
33,8.043,0.732,1.094696045
66,20.091,1.719,2.18939209
99,35.336,2.838,3.284088135
132,50.319,4.616,4.37878418
165,65.372,7.285,5.473480225
198,83.053,11.095,6.56817627
231,98.698,16.412,7.662872314
264,112.289,23.025,8.757568359
297,126.448,31.123,9.852264404
330,,38.425,10.94696045
363,,45.941,12.04165649
396,,52.602,13.13635254
429,,59.358,14.23104858
462,,65.38,15.32574463
495,,71.76,16.42044067
528,,77.626,17.51513672
561,,81.759,18.60983276
594,,84.864,19.70452881
627,,91.267,20.79922485
660,,96.098,21.8939209
693,,100.402,22.98861694
726,,104.661,24.08331299
759,,112.742,25.17800903
792,,118.294,26.27270508
825,,121.571,27.36740112
858,,127.53,28.46209717
891,,131.961,29.55679321
924,,139.089,30.65148926
957,,146.17,31.7461853
990,,148.386,32.84088135
1023,,165.968,33.93557739
1056,,166.646,35.03027344
1089,,170.525,36.12496948
1122,,172.894,37.21966553
1155,,184.298,38.31436157
1188,,182.972,39.40905762
1221,,194.173,40.50375366
1254,,206.451,41.59844971
1287,,224.843,42.69314575
1320,,219.429,43.7878418
1353,,232.777,44.88253784
1386,,246.341,45.97723389
1419,,256.275,47.07192993
1452,,273.5,48.16662598
1485,,268.46,49.26132202
1518,,296.26,50.35601807
1551,,304.481,51.45071411
1584,,328.756,52.54541016
1617,,341.89,53.6401062
1650,,383.59,54.73480225
1683,,390.313,55.82949829
1716,,395.117,56.92419434
1749,,436.788,58.01889038
1782,,487.471,59.11358643
1815,,476.83,60.20828247
1848,,485.893,61.30297852
1881,,537.223,62.39767456
1914,,543.786,63.49237061
1947,,564.425,64.58706665
1980,,608.727,65.6817627
